t,P_p_bar
3.385385207366198301e-04,7.468069193918904057e+04
3.397567779757082462e-04,7.502622353082566406e+04
3.409805358387529850e-04,7.538220867257771897e+04
3.415945102460682392e-04,7.492767514530498011e+04
3.428267955314368010e-04,7.463874846559889556e+04
3.434451355133205652e-04,7.418172920438833535e+04
3.446863265708088875e-04,7.326130898262716073e+04
3.459336876403540373e-04,7.485246386943681864e+04
3.465597110334783792e-04,7.560642002600175329e+04
3.478165599517524242e-04,7.471821186882202164e+04
3.484474727883934975e-04,7.605518908822409867e+04
3.497153811622411013e-04,7.517967987993685529e+04
3.509915841277688742e-04,7.489038746010426257e+04
3.516328579280525446e-04,7.618688708740702714e+04
3.529218956828117371e-04,7.532056347892379563e+04
3.535697178449481726e-04,7.488286972620101005e+04
3.548721142578870058e-04,7.399823952295891650e+04
3.555267176125198603e-04,7.355205514741090883e+04
3.568429674487560987e-04,7.265245957011647988e+04
3.575046430341899395e-04,7.219844360601897642e+04
3.588352701626718044e-04,7.367255116557242582e+04
3.595046873670071363e-04,7.322740221073605062e+04
3.608532424550503492e-04,7.232652445141060161e+04
3.615324967540800571e-04,7.187142729475807573e+04
3.629011916927993298e-04,7.095242833771755977e+04
3.635907487478107214e-04,7.048782860199081188e+04
3.649804857559502125e-04,6.954960008499960531e+04
3.656807821244001389e-04,6.907585570373268274e+04
3.663847746793180704e-04,6.859900108866163646e+04
3.678040229715406895e-04,7.009479767858618288e+04
3.685193369165062904e-04,6.962378398055644357e+04
3.699616063386201859e-04,6.867168684736888099e+04
3.706886782310903072e-04,6.819078009779741114e+04
3.714197373483330011e-04,6.770657655452845211e+04
3.728942538145929575e-04,6.735162046417033707e+04
3.736378275789320469e-04,6.686100110203653458e+04
3.743856505025178194e-04,6.820697210376993462e+04
3.758944803848862648e-04,6.723052159485447919e+04
3.766555746551603079e-04,6.673698670672169828e+04
3.774205688387155533e-04,6.624049556765845045e+04
3.789542242884635925e-04,6.524370609755348414e+04
3.797229146584868431e-04,6.474337493084288144e+04
3.804929147008806467e-04,6.424214297420794901e+04
3.812641953118145466e-04,6.373982488727420423e+04
3.828107146546244621e-04,6.403829766217395081e+04
3.835859824903309345e-04,6.353869625905626890e+04
3.843626182060688734e-04,6.973786224057473009e+04
3.859199932776391506e-04,7.105425299536836974e+04
3.867007908411324024e-04,7.060312204275320983e+04
3.874830435961484909e-04,7.014983017690459383e+04
3.882667515426874161e-04,6.969435335482696246e+04
3.898386203218251467e-04,6.877749329377153481e+04
3.906268393620848656e-04,6.831635700380367052e+04
3.914165718015283346e-04,7.061978814447145851e+04
3.922078758478164673e-04,7.017453037054419110e+04
3.937952278647571802e-04,6.927768948044607532e+04
3.945912758354097605e-04,6.882627379452834430e+04
3.953889827243983746e-04,6.837304938339210639e+04
3.969893732573837042e-04,6.746109328592372185e+04
3.977921151090413332e-04,6.700265090200921986e+04
3.985966031905263662e-04,6.654245713666558731e+04
3.994028375018388033e-04,6.608075333488940669e+04
4.002108180429786444e-04,6.561756626998161664e+04
4.018321342300623655e-04,6.468626447044127417e+04
4.026454989798367023e-04,6.421853131911274249e+04
4.034606681670993567e-04,6.374943228361890942e+04
4.042776126880198717e-04,6.327906526046132058e+04
4.059166240040212870e-04,6.233446218152245274e+04
4.067386907991021872e-04,6.186068736592629284e+04
4.075625329278409481e-04,6.374704697367802873e+04
