t,R_s
2.317175094503909349e-04,5.548168301600956420e-01
2.326908143004402518e-04,5.561842494101294498e-01
2.339933416806161404e-04,5.575841419589177006e-01
2.349739370401948690e-04,5.589232355901004867e-01
2.359576610615476966e-04,5.603028955539949285e-01
2.369445865042507648e-04,5.616709217815756272e-01
2.379347715759649873e-04,5.630161863511509157e-01
2.389283035881817341e-04,5.643432415943222535e-01
2.399252989562228322e-04,5.657133922433166262e-01
2.409258304396644235e-04,5.670343777110196104e-01
2.419299999019131064e-04,5.683518224763663973e-01
2.429378946544602513e-04,5.697113510182917340e-01
2.439496311126276851e-04,5.710207027496809751e-01
2.449660678394138813e-04,5.723665742968031545e-01
2.459877287037670612e-04,5.736977772198774694e-01
2.466725127305835485e-04,5.750198754797496425e-01
2.477056696079671383e-04,5.763227527839730469e-01
2.487464225850999355e-04,5.776530452407270255e-01
2.497962268535047770e-04,5.789605760394759271e-01
2.508558682166039944e-04,5.802519207703099591e-01
2.519257250241935253e-04,5.815336550233193291e-01
2.526448515709489584e-04,5.827966741353023394e-01
2.537326945457607508e-04,5.840886258436831513e-01
2.548318880144506693e-04,5.854170973677966794e-01
2.559428685344755650e-04,5.866361106076360965e-01
2.566902840044349432e-04,5.878911378485860428e-01
2.578218991402536631e-04,5.891897663099815441e-01
2.589665527921169996e-04,5.904270900391497268e-01
2.597371349111199379e-04,5.916517684027592372e-01
2.609046059660613537e-04,5.929124607674792768e-01
2.616909041535109282e-04,5.941610135812633864e-01
2.628827060107141733e-04,5.953082011447303756e-01
2.636857097968459129e-04,5.965405678905993936e-01
2.649033849593251944e-04,5.977532078661973447e-01
2.657241420820355415e-04,5.989957920674376934e-01
2.669692330528050661e-04,6.001801064241844008e-01
2.678088494576513767e-04,6.013558219323515974e-01
2.686562947928905487e-04,6.025158571872260005e-01
2.699425967875868082e-04,6.036688110373876759e-01
2.708066313061863184e-04,6.048232823314163564e-01
2.716725866775959730e-04,6.060289420652260617e-01
2.729752450250089169e-04,6.072386483160141513e-01
2.738462062552571297e-04,6.084463313083130487e-01
2.747192338574677706e-04,6.096616015199471939e-01
2.755943278316408396e-04,6.108783891754482331e-01
2.769110724329948425e-04,6.121316966466822107e-01
2.777917543426156044e-04,6.133343214927577947e-01
2.786748809739947319e-04,6.145369463388331566e-01
2.795606851577758789e-04,6.157335014094407200e-01
2.808955614455044270e-04,6.169179169291119091e-01
2.817895729094743729e-04,6.180998033756714971e-01
2.826863492373377085e-04,6.192887712269437017e-01
2.835858031176030636e-04,6.205198228547949002e-01
2.849401498679071665e-04,6.216900755650406341e-01
2.858465304598212242e-04,6.228502119828395189e-01
2.867557632271200418e-04,6.240509147333501705e-01
2.876679354812949896e-04,6.252460535230149885e-01
2.885830472223460674e-04,6.264716423529447242e-01
2.899619867093861103e-04,6.276258101582000704e-01
2.908860915340483189e-04,6.288170035938108748e-01
2.918141253758221865e-04,6.299433515948372753e-01
2.927461755461990833e-04,6.311386927103510569e-01
2.936823293566703796e-04,6.323178477579501910e-01
2.946227323263883591e-04,6.334367097025661586e-01
2.955681993626058102e-04,6.345323041745544179e-01
2.969972556456923485e-04,6.356005846569365847e-01
2.979586133733391762e-04,6.366531848860259579e-01
2.989272470586001873e-04,6.377428107454706785e-01
2.999033313244581223e-04,6.388096749469102109e-01
3.008870407938957214e-04,6.399074950032369591e-01
3.018786374013870955e-04,6.409931755086274441e-01
3.028782666660845280e-04,6.420236210572584090e-01
3.038861614186316729e-04,6.430936213093563225e-01
3.049025544896721840e-04,6.441033284584714025e-01
3.059276496060192585e-04,6.451632124181224670e-01
3.069617087021470070e-04,6.461734253818599560e-01
3.074821725022047758e-04,6.472130767566175447e-01
3.085300850216299295e-04,6.482390711365719760e-01
3.095876018051058054e-04,6.492650655165262963e-01
3.106549556832760572e-04,6.502890366379913134e-01
3.117324376944452524e-04,6.513089612424777242e-01
3.128203679807484150e-04,6.523795684721223065e-01
3.139189793728291988e-04,6.534177024030128900e-01
3.144724178127944469e-04,6.544624119239939031e-01
3.155877056997269392e-04,6.555527459239098853e-01
3.167144895996898413e-04,6.566055484788483332e-01
3.178530896548181772e-04,6.577166208782804224e-01
3.184269298799335957e-04,6.587871269450005229e-01
3.195821191184222698e-04,6.598561155678539514e-01
3.207408881280571222e-04,6.609626356356849142e-01
3.219026839360594749e-04,6.620646033719147505e-01
3.224847896490246058e-04,6.631199349999647996e-01
3.236513875890523195e-04,6.641266072613458693e-01
3.248213324695825577e-04,6.652204819636182709e-01
3.259946824982762337e-04,6.663027229295768183e-01
3.265826380811631680e-04,6.674133906773109803e-01
3.277611685916781425e-04,6.684135885115259912e-01
3.289432206656783819e-04,6.695126225229462991e-01
3.295356291346251965e-04,6.705559157629847888e-01
3.307231818325817585e-04,6.715835287497305961e-01
3.319145180284976959e-04,6.725944498539393468e-01
3.325116413179785013e-04,6.735876674463660008e-01
3.337089146953076124e-04,6.746189222983927092e-01
3.349102044012397528e-04,6.755903898620588821e-01
3.355123917572200298e-04,6.765988830560804024e-01
3.367197932675480843e-04,6.776033297331229832e-01
3.379312402103096247e-04,6.786037298931870687e-01
3.385385207366198301e-04,6.795433311356458006e-01
3.397567779757082462e-04,6.805600185265491264e-01
3.409805358387529850e-04,6.815569791471811634e-01
3.415945102460682392e-04,6.824941524794526648e-01
3.428267955314368010e-04,6.834282909239901560e-01
3.434451355133205652e-04,6.843593944807936369e-01
3.446863265708088875e-04,6.853852876978234754e-01
3.459336876403540373e-04,6.863534168849820816e-01
3.465597110334783792e-04,6.872647936715143846e-01
3.478165599517524242e-04,6.882329228586729908e-01
3.484474727883934975e-04,6.891609915277422393e-01
3.497153811622411013e-04,6.901878963740170070e-01
3.509915841277688742e-04,6.912021558547331024e-01
3.516328579280525446e-04,6.921490408277535256e-01
3.529218956828117371e-04,6.930452431756154441e-01
3.535697178449481726e-04,6.940453398469059731e-01
3.548721142578870058e-04,6.950535295521541590e-01
3.555267176125198603e-04,6.960150831492223356e-01
3.568429674487560987e-04,6.970131565620235614e-01
3.575046430341899395e-04,6.978951961004600246e-01
3.588352701626718044e-04,6.988725311137453655e-01
3.595046873670071363e-04,6.998493603124081863e-01
3.608532424550503492e-04,7.008120267016456628e-01
3.615324967540800571e-04,7.017214813926130335e-01
3.629011916927993298e-04,7.026765605625152622e-01
3.635907487478107214e-04,7.036225350692154601e-01
3.649804857559502125e-04,7.045614281712028193e-01
3.656807821244001389e-04,7.054952631269670871e-01
3.663847746793180704e-04,7.064671353423310762e-01
3.678040229715406895e-04,7.073822551570684292e-01
3.685193369165062904e-04,7.082993982302953073e-01
3.699616063386201859e-04,7.092616599678348566e-01
3.706886782310903072e-04,7.101585704561681478e-01
3.714197373483330011e-04,7.110332251011183269e-01
3.728942538145929575e-04,7.119033274144674905e-01
3.736378275789320469e-04,7.128276530553316892e-01
3.743856505025178194e-04,7.137524845108180749e-01
3.758944803848862648e-04,7.145830321207002900e-01
3.766555746551603079e-04,7.154592042095175852e-01
3.774205688387155533e-04,7.164240961830932175e-01
3.789542242884635925e-04,7.173839300104456473e-01
3.797229146584868431e-04,7.183016800612193054e-01
3.804929147008806467e-04,7.192214533704821555e-01
3.812641953118145466e-04,7.200327800247157128e-01
3.828107146546244621e-04,7.208912486017510224e-01
3.835859824903309345e-04,7.218556347607043566e-01
3.843626182060688734e-04,7.227754080699673178e-01
3.859199932776391506e-04,7.237357477119419347e-01
3.867007908411324024e-04,7.246018035083126030e-01
3.874830435961484909e-04,7.254734232655287718e-01
3.882667515426874161e-04,7.263937023894140310e-01
3.898386203218251467e-04,7.273656757677025020e-01
3.906268393620848656e-04,7.282798851161199627e-01
3.914165718015283346e-04,7.291804374697340441e-01
3.922078758478164673e-04,7.301271201169053926e-01
3.937952278647571802e-04,7.310261550266523578e-01
3.945912758354097605e-04,7.319216492340431257e-01
3.953889827243983746e-04,7.328166376268114846e-01
3.969893732573837042e-04,7.337141550926915556e-01
3.977921151090413332e-04,7.346015562661247777e-01
3.985966031905263662e-04,7.355229481821792259e-01
3.994028375018388033e-04,7.364413052104996638e-01
4.002108180429786444e-04,7.373039214674381725e-01
4.018321342300623655e-04,7.381549039880630492e-01
4.026454989798367023e-04,7.390383598074421467e-01
4.034606681670993567e-04,7.399172632952200068e-01
4.042776126880198717e-04,7.407956609683755689e-01
4.059166240040212870e-04,7.417029912379290435e-01
4.067386907991021872e-04,7.426032401027696794e-01
4.075625329278409481e-04,7.435014657091210122e-01
4.083881212864071131e-04,7.443302935492872585e-01
4.092154849786311388e-04,7.451348422875812005e-01
4.108757129870355129e-04,7.459759108416080808e-01
4.117086355108767748e-04,7.468018049569647987e-01
4.125434788875281811e-04,7.476175827798747786e-01
4.133802722208201885e-04,7.484850548571877482e-01
4.142190155107527971e-04,7.492967861631188997e-01
4.159024974796921015e-04,7.500989069912256113e-01
4.167472652625292540e-04,7.508397230871048933e-01
4.175940994173288345e-04,7.516778579163220231e-01
4.184429999440908432e-04,7.525215567063850974e-01
4.192940250504761934e-04,7.533612089794694544e-01
4.201471456326544285e-04,7.541461321104165894e-01
4.218595568090677261e-04,7.549224563927839915e-01
4.227188474033027887e-04,7.556952399727949743e-01
4.235802625771611929e-04,7.564695409966730733e-01
4.244437732268124819e-04,7.572914897579755555e-01
4.253094666637480259e-04,7.581104036315439165e-01
4.261773137841373682e-04,7.589323523928463988e-01
4.279196436982601881e-04,7.598044779646848657e-01
4.287942138034850359e-04,7.605792848031852627e-01
4.296711122151464224e-04,7.613596556025314932e-01
4.305503680370748043e-04,7.621917206562807134e-01
4.314329125918447971e-04,7.629837251919406871e-01
4.323187458794564009e-04,7.638385519036950955e-01
4.332079261075705290e-04,7.646487657657593529e-01
4.349965602159500122e-04,7.654761773249830759e-01
4.358961596153676510e-04,7.663258447275898000e-01
4.367993387859314680e-04,7.671714656132175847e-01
4.377061850391328335e-04,7.680591702754242522e-01
4.386166983749717474e-04,7.688972039417172333e-01
4.395309078972786665e-04,7.697316969056536839e-01
4.404489009175449610e-04,7.705677073134571398e-01
4.413706774357706308e-04,7.714102933113511362e-01
4.422962956596165895e-04,7.722488327922663043e-01
4.432259884197264910e-04,7.731294560497602442e-01
4.441601631697267294e-04,7.739604083113401645e-01
4.450989363249391317e-04,7.747878198705639985e-01
4.469905106816440821e-04,7.756578210209887914e-01
4.479433700907975435e-04,7.765197291374560384e-01
4.489010316319763660e-04,7.773796139954339823e-01
4.498634370975196362e-04,7.781867929697640074e-01
4.508307029027491808e-04,7.790284685013378896e-01
4.518027708400040865e-04,7.798128858176627265e-01
4.527797282207757235e-04,7.806429276129226436e-01
4.537615750450640917e-04,7.814679112619590251e-01
4.547483113128691912e-04,7.822939065402401138e-01
4.557400243356823921e-04,7.830702308226076269e-01
4.567367141135036945e-04,7.838840865499525634e-01
4.577383806463330984e-04,7.846847910971167517e-01
4.587451112456619740e-04,7.854216618389415761e-01
4.597569350153207779e-04,7.861975814696109399e-01
4.607738810591399670e-04,7.870186197645934190e-01
4.617960075847804546e-04,7.877783533273480243e-01
4.628234601113945246e-04,7.885806764813035885e-01
4.638545215129852295e-04,7.892937739358784066e-01
4.648879112210124731e-04,7.900616005325904467e-01
4.659236583393067122e-04,7.909312981942420162e-01
4.669618210755288601e-04,7.917153108588690369e-01
4.680024576373398304e-04,7.925018525966075478e-01
4.690455389209091663e-04,7.932813129296334420e-01
4.700911813415586948e-04,7.941008337807485828e-01
4.711394140031188726e-04,7.949107441540395058e-01
4.721902369055896997e-04,7.956770533068846518e-01
4.732437373604625463e-04,7.965036555627122983e-01
4.743001481983810663e-04,7.972841275249827886e-01
4.753594985231757164e-04,7.980656111164982081e-01
4.764219047501683235e-04,7.988541761127262442e-01
4.774873668793588877e-04,7.996558922891352506e-01
4.785560013260692358e-04,8.004200770205663895e-01
4.796278080902993679e-04,8.011928606005773723e-01
4.807029035873711109e-04,8.019793011753916234e-01
4.817812878172844648e-04,8.027844568912322343e-01
