t,R_c
3.248213324695825577e-04,6.182472989195678670e-01
3.259946824982762337e-04,6.192476990796318415e-01
3.265826380811631680e-04,6.192476990796318415e-01
3.277611685916781425e-04,6.192476990796318415e-01
3.289432206656783819e-04,6.222488995598239869e-01
3.295356291346251965e-04,6.222488995598239869e-01
3.307231818325817585e-04,6.242496998799520469e-01
3.319145180284976959e-04,6.242496998799520469e-01
3.325116413179785013e-04,6.242496998799520469e-01
3.337089146953076124e-04,6.282513005202080558e-01
3.349102044012397528e-04,6.282513005202080558e-01
3.355123917572200298e-04,6.282513005202080558e-01
3.367197932675480843e-04,6.282513005202080558e-01
3.379312402103096247e-04,6.282513005202080558e-01
3.385385207366198301e-04,6.282513005202080558e-01
3.397567779757082462e-04,6.302521008403361158e-01
3.409805358387529850e-04,6.322529011604641758e-01
3.415945102460682392e-04,6.322529011604641758e-01
3.428267955314368010e-04,6.332533013205282613e-01
3.434451355133205652e-04,6.332533013205282613e-01
3.446863265708088875e-04,6.332533013205282613e-01
3.459336876403540373e-04,6.372549019607843812e-01
3.465597110334783792e-04,6.392557022809124412e-01
3.478165599517524242e-04,6.392557022809124412e-01
3.484474727883934975e-04,6.422569027611044756e-01
3.497153811622411013e-04,6.422569027611044756e-01
3.509915841277688742e-04,6.432573029211684501e-01
3.516328579280525446e-04,6.462585034013605956e-01
3.529218956828117371e-04,6.462585034013605956e-01
3.535697178449481726e-04,6.462585034013605956e-01
3.548721142578870058e-04,6.462585034013605956e-01
3.555267176125198603e-04,6.462585034013605956e-01
3.568429674487560987e-04,6.462585034013605956e-01
3.575046430341899395e-04,6.462585034013605956e-01
3.588352701626718044e-04,6.502601040416167155e-01
3.595046873670071363e-04,6.502601040416167155e-01
3.608532424550503492e-04,6.502601040416167155e-01
3.615324967540800571e-04,6.502601040416167155e-01
3.629011916927993298e-04,6.502601040416167155e-01
3.635907487478107214e-04,6.502601040416167155e-01
3.649804857559502125e-04,6.502601040416167155e-01
3.656807821244001389e-04,6.502601040416167155e-01
3.663847746793180704e-04,6.502601040416167155e-01
3.678040229715406895e-04,6.542617046818727244e-01
3.685193369165062904e-04,6.542617046818727244e-01
3.699616063386201859e-04,6.542617046818727244e-01
3.706886782310903072e-04,6.542617046818727244e-01
3.714197373483330011e-04,6.542617046818727244e-01
3.728942538145929575e-04,6.552621048419368099e-01
3.736378275789320469e-04,6.552621048419368099e-01
3.743856505025178194e-04,6.582633053221288444e-01
3.758944803848862648e-04,6.582633053221288444e-01
3.766555746551603079e-04,6.582633053221288444e-01
3.774205688387155533e-04,6.582633053221288444e-01
3.789542242884635925e-04,6.582633053221288444e-01
3.797229146584868431e-04,6.582633053221288444e-01
3.804929147008806467e-04,6.582633053221288444e-01
3.812641953118145466e-04,6.582633053221288444e-01
3.828107146546244621e-04,6.602641056422569044e-01
3.835859824903309345e-04,6.602641056422569044e-01
3.843626182060688734e-04,6.712685074029611787e-01
3.859199932776391506e-04,6.752701080432172986e-01
3.867007908411324024e-04,6.752701080432172986e-01
3.874830435961484909e-04,6.752701080432172986e-01
3.882667515426874161e-04,6.752701080432172986e-01
3.898386203218251467e-04,6.752701080432172986e-01
3.906268393620848656e-04,6.752701080432172986e-01
3.914165718015283346e-04,6.802721088435373931e-01
3.922078758478164673e-04,6.802721088435373931e-01
3.937952278647571802e-04,6.802721088435373931e-01
3.945912758354097605e-04,6.802721088435373931e-01
3.953889827243983746e-04,6.802721088435373931e-01
3.969893732573837042e-04,6.802721088435373931e-01
3.977921151090413332e-04,6.802721088435373931e-01
3.985966031905263662e-04,6.802721088435373931e-01
3.994028375018388033e-04,6.802721088435373931e-01
4.002108180429786444e-04,6.802721088435373931e-01
4.018321342300623655e-04,6.802721088435373931e-01
4.026454989798367023e-04,6.802721088435373931e-01
4.034606681670993567e-04,6.802721088435373931e-01
4.042776126880198717e-04,6.802721088435373931e-01
4.059166240040212870e-04,6.802721088435373931e-01
4.067386907991021872e-04,6.802721088435373931e-01
4.075625329278409481e-04,6.842737094837935130e-01
4.083881212864071131e-04,6.842737094837935130e-01
4.092154849786311388e-04,6.842737094837935130e-01
4.108757129870355129e-04,6.842737094837935130e-01
4.117086355108767748e-04,6.842737094837935130e-01
4.125434788875281811e-04,6.922769107643057529e-01
4.133802722208201885e-04,6.922769107643057529e-01
4.142190155107527971e-04,6.922769107643057529e-01
4.159024974796921015e-04,6.922769107643057529e-01
4.167472652625292540e-04,6.922769107643057529e-01
4.175940994173288345e-04,6.922769107643057529e-01
4.184429999440908432e-04,6.922769107643057529e-01
4.192940250504761934e-04,6.922769107643057529e-01
4.201471456326544285e-04,6.962785114045618728e-01
