t,P_c,u_c,R_c
1.160003e-02,2.467078e+01,-8.039715e+02,1.043476e-01
1.165003e-02,2.367466e+01,-8.009469e+02,1.043476e-01
1.170002e-02,2.299317e+01,-7.982974e+02,1.043476e-01
1.175003e-02,2.227185e+01,-7.954959e+02,1.043476e-01
1.180002e-02,2.171604e+01,-7.927319e+02,1.043476e-01
1.185003e-02,2.113313e+01,-7.905707e+02,1.043476e-01
1.190003e-02,2.042751e+01,-7.878468e+02,1.043476e-01
1.195003e-02,1.996124e+01,-7.857927e+02,1.043476e-01
1.200003e-02,1.949135e+01,-7.832664e+02,1.043476e-01
1.205003e-02,1.869101e+01,-7.795883e+02,1.043476e-01
1.210002e-02,1.799355e+01,-7.768253e+02,1.043476e-01
1.215003e-02,1.746572e+01,-7.752978e+02,1.043476e-01
1.220003e-02,1.683381e+01,-7.733558e+02,1.043476e-01
1.225002e-02,1.639925e+01,-7.712161e+02,1.043476e-01
1.230003e-02,1.606977e+01,-7.694294e+02,1.043476e-01
1.235002e-02,1.568780e+01,-7.675016e+02,1.043476e-01
1.240003e-02,1.529066e+01,-7.654589e+02,1.043476e-01
1.245003e-02,1.472378e+01,-7.629553e+02,1.043476e-01
1.250003e-02,1.424209e+01,-7.606946e+02,1.043476e-01
1.255003e-02,1.390010e+01,-7.591385e+02,1.043476e-01
1.260003e-02,1.348576e+01,-7.573104e+02,1.043476e-01
1.265003e-02,1.312007e+01,-7.555204e+02,1.043476e-01
1.270003e-02,1.281781e+01,-7.537241e+02,1.043476e-01
1.275003e-02,1.249361e+01,-7.513694e+02,1.043476e-01
1.280003e-02,1.217336e+01,-7.490489e+02,1.043476e-01
1.285003e-02,1.186375e+01,-7.470503e+02,1.043476e-01
1.290003e-02,1.148432e+01,-7.451048e+02,1.043476e-01
1.295003e-02,1.102873e+01,-7.424039e+02,1.043476e-01
1.300003e-02,1.059185e+01,-7.396700e+02,1.043476e-01
1.305003e-02,1.024933e+01,-7.375658e+02,1.043476e-01
1.310003e-02,9.994585e+00,-7.357031e+02,1.043476e-01
1.315003e-02,9.697038e+00,-7.339763e+02,1.043476e-01
1.320003e-02,9.410845e+00,-7.324651e+02,1.043476e-01
1.325003e-02,9.176651e+00,-7.308238e+02,1.043476e-01
1.330003e-02,8.963822e+00,-7.289949e+02,1.043476e-01
1.335003e-02,8.749103e+00,-7.268319e+02,1.043476e-01
1.340003e-02,8.546533e+00,-7.249802e+02,1.043476e-01
1.345003e-02,8.331140e+00,-7.229987e+02,1.043476e-01
1.350003e-02,8.154917e+00,-7.212204e+02,1.043476e-01
1.355003e-02,7.960854e+00,-7.194048e+02,1.043476e-01
1.360003e-02,7.735930e+00,-7.172656e+02,1.043476e-01
1.365003e-02,7.514913e+00,-7.151368e+02,1.043476e-01
1.370003e-02,7.294198e+00,-7.131205e+02,1.043476e-01
1.375003e-02,7.108245e+00,-7.113693e+02,1.043476e-01
1.380003e-02,6.912722e+00,-7.095251e+02,1.043476e-01
1.385003e-02,6.678232e+00,-7.073420e+02,1.043476e-01
1.390004e-02,6.465898e+00,-7.053342e+02,1.043476e-01
1.395003e-02,6.275916e+00,-7.035782e+02,1.043476e-01
1.400003e-02,6.081788e+00,-7.015421e+02,1.043476e-01
1.405003e-02,5.935788e+00,-6.998242e+02,1.043476e-01
1.410003e-02,5.805113e+00,-6.984120e+02,1.043476e-01
1.415003e-02,5.662516e+00,-6.968702e+02,1.043476e-01
1.420003e-02,5.524984e+00,-6.951410e+02,1.043476e-01
1.425004e-02,5.403016e+00,-6.937488e+02,1.043476e-01
1.430003e-02,5.279310e+00,-6.923583e+02,1.043476e-01
1.435003e-02,5.159276e+00,-6.905646e+02,1.043476e-01
1.440003e-02,5.053634e+00,-6.843784e+02,1.043476e-01
1.445003e-02,4.966073e+00,-6.748444e+02,1.043476e-01
1.450004e-02,4.897745e+00,-6.662682e+02,1.043476e-01
1.455003e-02,4.833371e+00,-6.581578e+02,1.043476e-01
1.460003e-02,4.782074e+00,-6.497021e+02,1.043476e-01
1.465003e-02,4.709346e+00,-6.420018e+02,1.043476e-01
1.470004e-02,4.634883e+00,-6.362686e+02,1.043476e-01
1.475004e-02,4.612021e+00,-6.322120e+02,1.043476e-01
1.480003e-02,4.605596e+00,-6.269202e+02,1.043476e-01
1.485004e-02,4.589944e+00,-6.201961e+02,1.043476e-01
1.490003e-02,4.560009e+00,-6.125267e+02,1.043476e-01
1.495003e-02,4.504886e+00,-6.032431e+02,1.043476e-01
1.500001e-02,4.471019e+00,-5.941833e+02,1.043476e-01
